chousonLabel,code,gunLabel
北川村,393053,安芸郡
馬路村,393061,安芸郡
芸西村,393070,安芸郡
本山町,393410,長岡郡
大豊町,393444,長岡郡
土佐町,393631,土佐郡
大川村,393649,土佐郡
いの町,393860,吾川郡
仁淀川町,393878,吾川郡
中土佐町,394017,高岡郡
佐川町,394025,高岡郡
越知町,394033,高岡郡
檮原町,394050,高岡郡
日高村,394106,高岡郡
津野町,394114,高岡郡
四万十町,394122,高岡郡
大月町,394246,幡多郡
三原村,394271,幡多郡
黒潮町,394289,幡多郡
宇美町,403415,糟屋郡
篠栗町,403423,糟屋郡
志免町,403431,糟屋郡
須恵町,403440,糟屋郡
新宮町,403458,糟屋郡
久山町,403482,糟屋郡
粕屋町,403491,糟屋郡
芦屋町,403814,遠賀郡
水巻町,403822,遠賀郡
岡垣町,403831,遠賀郡
遠賀町,403849,遠賀郡
小竹町,404012,鞍手郡
鞍手町,404021,鞍手郡
桂川町,404217,嘉穂郡
筑前町,404471,朝倉郡
東峰村,404489,朝倉郡
大刀洗町,405035,三井郡
大木町,405221,三潴郡
広川町,405442,八女郡
香春町,406015,田川郡
添田町,406023,田川郡
糸田町,406040,田川郡
川崎町,406058,田川郡
大任町,406082,田川郡
赤村,406091,田川郡
福智町,406104,田川郡
苅田町,406210,京都郡
みやこ町,406252,京都郡
吉富町,406422,築上郡
上毛町,406465,築上郡
築上町,406473,築上郡
吉野ヶ里町,413275,神埼郡
基山町,413411,三養基郡
上峰町,413453,三養基郡
みやき町,413461,三養基郡
玄海町,413879,東松浦郡
有田町,414018,西松浦郡
大町町,414239,杵島郡
江北町,414247,杵島郡
白石町,414255,杵島郡
太良町,414417,藤津郡
長与町,423076,西彼杵郡
時津町,423084,西彼杵郡
東彼杵町,423211,東彼杵郡
川棚町,423220,東彼杵郡
波佐見町,423238,東彼杵郡
小値賀町,423831,北松浦郡
佐々町,423912,北松浦郡
新上五島町,424111,南松浦郡
美里町,433489,下益城郡
玉東町,433641,玉名郡
南関町,433675,玉名郡
長洲町,433683,玉名郡
和水町,433691,玉名郡
大津町,434035,菊池郡
菊陽町,434043,菊池郡
南小国町,434230,阿蘇郡
小国町,434248,阿蘇郡
産山村,434256,阿蘇郡
高森町,434281,阿蘇郡
西原村,434329,阿蘇郡
南阿蘇村,434337,阿蘇郡
御船町,434418,上益城郡
嘉島町,434426,上益城郡
益城町,434434,上益城郡
甲佐町,434442,上益城郡
山都町,434477,上益城郡
氷川町,434680,八代郡
芦北町,434825,葦北郡
津奈木町,434841,葦北郡
錦町,435015,球磨郡
多良木町,435058,球磨郡
湯前町,435066,球磨郡
水上村,435074,球磨郡
相良村,435104,球磨郡
五木村,435112,球磨郡
山江村,435121,球磨郡
球磨村,435139,球磨郡
あさぎり町,435147,球磨郡
苓北町,435317,天草郡
姫島村,443221,東国東郡
日出町,443417,速見郡
九重町,444618,玖珠郡
玖珠町,444626,玖珠郡
三股町,453412,北諸県郡
高原町,453617,西諸県郡
国富町,453820,東諸県郡
綾町,453838,東諸県郡
高鍋町,454010,児湯郡
新富町,454028,児湯郡
西米良村,454036,児湯郡
木城町,454044,児湯郡
川南町,454052,児湯郡
都農町,454061,児湯郡
門川町,454214,東臼杵郡
諸塚村,454290,東臼杵郡
椎葉村,454303,東臼杵郡
美郷町,454311,東臼杵郡
高千穂町,454419,西臼杵郡
日之影町,454427,西臼杵郡
五ヶ瀬町,454435,西臼杵郡
さつま町,463922,薩摩郡
長島町,464040,出水郡
湧水町,464520,姶良郡
大崎町,464686,曽於郡
東串良町,464821,肝属郡
錦江町,464902,肝属郡
南大隅町,464911,肝属郡
肝付町,464929,肝属郡
中種子町,465011,熊毛郡
南種子町,465020,熊毛郡
屋久島町,465054,熊毛郡
